N, d, time_k, time_cpu, success
100000000, 2, 13.6128, 1102, 1
50000000, 4, 13.983, 1102, 1
25000000, 8, 14.921, 1062, 1
12500000, 16, 15.418, 937, 1
6250000, 32, 15.9698, 783, 1
3125000, 64, 16.6868, 689, 1
1562500, 128, 16.5082, 636, 1
781250, 256, 17.0319, 627, 1
390625, 512, 17.6406, 634, 1
195312, 1024, 18.0547, 621, 1
